X:	U:	P:	RO:	E:	Q:
1.517	1.88198e-13	0.285714	0.357143	1.2	5.32547e-14
1.518	5.90626e-14	0.285714	0.357143	1.2	1.67374e-14
1.519	1.84765e-14	0.285714	0.357143	1.2	5.22094e-15
1.52	5.81641e-15	0.285714	0.357143	1.2	1.64402e-15
1.521	1.82987e-15	0.285714	0.357143	1.2	5.2262e-16
1.522	5.62584e-16	0.285714	0.357143	1.2	1.81883e-16
1.523	1.21541e-16	0.285714	0.357143	1.2	3.80119e-17
1.524	2.93674e-17	0.285714	0.357143	1.2	9.09544e-18
1.525	7.31217e-18	0.285714	0.357143	1.2	2.2781e-18
1.526	1.78807e-18	0.285714	0.357143	1.2	5.5789e-19
1.527	4.35256e-19	0.285714	0.357143	1.2	1.35912e-19
1.528	1.05687e-19	0.285714	0.357143	1.2	3.29801e-20
1.529	2.57143e-20	0.285714	0.357143	1.2	8.01949e-21
1.53	6.26806e-21	0.285714	0.357143	1.2	1.95481e-21
1.531	1.52791e-21	0.285714	0.357143	1.2	4.76664e-22
1.532	3.72056e-22	0.285714	0.357143	1.2	1.16097e-22
1.533	9.05362e-23	0.285714	0.357143	1.2	2.82499e-23
1.534	2.20339e-23	0.285714	0.357143	1.2	6.87372e-24
1.535	5.36596e-24	0.285714	0.357143	1.2	1.67353e-24
1.536	1.30786e-24	0.285714	0.357143	1.2	4.07794e-25
1.537	3.1901e-25	0.285714	0.357143	1.2	9.94468e-26
1.538	7.78647e-26	0.285714	0.357143	1.2	2.42684e-26
1.539	1.9017e-26	0.285714	0.357143	1.2	5.926e-27
1.54	4.64723e-27	0.285714	0.357143	1.2	1.44791e-27
1.541	1.13624e-27	0.285714	0.357143	1.2	3.53964e-28
1.542	2.77924e-28	0.285714	0.357143	1.2	8.65724e-29
1.543	6.79968e-29	0.285714	0.357143	1.2	2.11805e-29
1.544	1.66369e-29	0.285714	0.357143	1.2	5.18253e-30
1.545	4.06994e-30	0.285714	0.357143	1.2	1.26796e-30
1.546	9.95299e-31	0.285714	0.357143	1.2	3.10127e-31
1.547	2.4328e-31	0.285714	0.357143	1.2	7.58182e-32
1.548	5.94307e-32	0.285714	0.357143	1.2	1.85251e-32
1.549	1.45096e-32	0.285714	0.357143	1.2	4.52362e-33
1.55	3.54044e-33	0.285714	0.357143	1.2	1.10397e-33
1.551	8.63459e-34	0.285714	0.357143	1.2	2.69276e-34
1.552	2.10499e-34	0.285714	0.357143	1.2	6.56522e-35
1.553	5.1301e-35	0.285714	0.357143	1.2	1.60013e-35
1.554	1.24999e-35	0.285714	0.357143	1.2	3.89902e-36
1.555	3.04531e-36	0.285714	0.357143	1.2	9.49924e-37
1.556	7.41864e-37	0.285714	0.357143	1.2	2.31411e-37
1.557	1.80721e-37	0.285714	0.357143	1.2	5.63724e-38
1.558	4.40255e-38	0.285714	0.357143	1.2	1.37326e-38
1.559	1.07256e-38	0.285714	0.357143	1.2	3.3455e-39
1.56	2.61319e-39	0.285714	0.357143	1.2	8.15075e-40
1.561	6.36741e-40	0.285714	0.357143	1.2	1.98597e-40
1.562	1.55168e-40	0.285714	0.357143	1.2	4.83944e-41
1.563	3.78178e-41	0.285714	0.357143	1.2	1.17942e-41
1.564	9.21827e-42	0.285714	0.357143	1.2	2.87477e-42
1.565	2.24733e-42	0.285714	0.357143	1.2	7.00807e-43
1.566	5.47966e-43	0.285714	0.357143	1.2	1.70868e-43
1.567	1.33632e-43	0.285714	0.357143	1.2	4.16673e-44
1.568	3.25941e-44	0.285714	0.357143	1.2	1.01625e-44
1.569	7.95132e-45	0.285714	0.357143	1.2	2.47901e-45
1.57	1.94003e-45	0.285714	0.357143	1.2	6.04822e-46
1.571	4.73417e-46	0.285714	0.357143	1.2	1.47585e-46
