time	tau
0.14495	0.000177128
0.145127	0.000183361
0.14531	0.000172524
0.145483	0.000176262
0.145659	0.000186142
0.145845	0.00017236
0.146017	0.000175165
0.146193	0.000188284
0.146381	0.000171935
0.146553	0.000174078
0.146727	0.00018797
0.146915	0.000173221
0.147088	0.000173882
0.147262	0.000186516
0.147448	0.000173961
0.147622	0.000173765
0.147796	0.00018526
0.147981	0.000175152
0.148157	0.000173763
0.14833	0.000184091
0.148514	0.000175688
0.14869	0.000173605
0.148864	0.000183039
0.149047	0.000176688
0.149223	0.000173563
0.149397	0.00018204
0.149579	0.000177082
0.149756	0.000173378
0.14993	0.000181145
0.150111	0.000177895
0.150289	0.000173286
0.150462	0.000180285
0.150642	0.000178167
0.15082	0.000173075
0.150993	0.000179523
0.151173	0.000178809
0.151352	0.000172934
0.151525	0.000178784
0.151703	0.000178969
0.151882	0.000172697
0.152055	0.000178142
0.152233	0.000181609
0.152415	0.000172779
0.152588	0.000177209
0.152765	0.000183213
0.152948	0.000172543
0.153121	0.000176327
0.153297	0.000185809
0.153483	0.000172363
0.153655	0.000175263
0.15383	0.000188039
0.154018	0.000171972
0.15419	0.000174173
0.154365	0.000188115
0.154553	0.000172993
0.154726	0.000173836
0.154899	0.000186638
0.155086	0.000173921
0.15526	0.000173773
0.155434	0.000185365
0.155619	0.000174979
0.155794	0.000173736
0.155968	0.000184193
0.156152	0.000175654
0.156328	0.000173613
0.156501	0.000183126
0.156684	0.00017654
0.156861	0.000173544
0.157035	0.000182126
0.157217	0.000177061
0.157394	0.000173389
0.157567	0.000181217
0.157748	0.000177772
0.157926	0.000173276
0.158099	0.000180358
0.15828	0.000178157
0.158458	0.000173089
0.158631	0.000179582
0.158811	0.000178708
0.158989	0.000172931
0.159162	0.000178847
0.159341	0.000178969
0.15952	0.000172714
0.159693	0.000178189
0.159871	0.000181198
0.160052	0.000172745
0.160225	0.000177308
0.160402	0.000183052
0.160585	0.000172569
0.160758	0.000176407
0.160934	0.000185435
0.16112	0.00017237
0.161292	0.000175379
0.161467	0.000187767
0.161655	0.000172017
0.161827	0.000174286
0.162001	0.000188288
0.16219	0.000172736
0.162362	0.000173789
0.162536	0.000186785
0.162723	0.000173878
0.162897	0.000173786
0.163071	0.000185492
0.163256	0.000174785
0.163431	0.00017371
0.163605	0.000184314
0.163789	0.000175618
0.163965	0.000173626
0.164138	0.000183231
0.164322	0.000176375
0.164498	0.000173526
0.164671	0.000182231
0.164854	0.000177039
0.165031	0.000173405
0.165204	0.000181305
0.165385	0.000177633
0.165563	0.000173267
0.165736	0.000180448
0.165917	0.000178147
0.166095	0.000173108
0.166268	0.000179655
0.166448	0.000178596
0.166626	0.000172932
0.166799	0.000178922
0.166978	0.00017897
0.167157	0.000172736
0.16733	0.000178248
0.167508	0.000180748
0.167689	0.00017271
0.167862	0.000177424
0.168039	0.000182877
0.168222	0.000172601
0.168394	0.000176501
0.168571	0.000185026
0.168756	0.000172379
0.168928	0.000175512
0.169104	0.000187472
0.169291	0.000172068
0.169463	0.000174416
0.169638	0.000188486
0.169826	0.000172454
0.169999	0.000173741
0.170172	0.000186953
0.170359	0.00017383
0.170533	0.000173805
0.170707	0.000185638
0.170893	0.000174574
0.171067	0.000173685
0.171241	0.000184454
0.171425	0.000175578
0.171601	0.000173644
0.171775	0.000183353
0.171958	0.000176196
0.172134	0.00017351
0.172308	0.00018235
0.17249	0.000177014
0.172667	0.000173426
0.17284	0.000181407
0.173022	0.000177483
0.173199	0.00017326
0.173373	0.00018055
0.173553	0.000178135
0.173731	0.000173132
0.173904	0.00017974
0.174084	0.000178473
0.174263	0.000172934
0.174436	0.00017901
0.174615	0.00017897
0.174794	0.000172763
0.174966	0.000178317
0.175145	0.000180265
0.175325	0.000172673
0.175498	0.000177552
0.175675	0.000182688
0.175858	0.000172636
0.17603	0.000176607
0.176207	0.000184589
0.176392	0.000172389
0.176564	0.000175659
0.17674	0.000187156
0.176927	0.000172122
0.177099	0.000174558
0.177274	0.000188707
0.177462	0.000172152
0.177634	0.000173693
0.177808	0.00018714
0.177995	0.000173777
0.178169	0.000173828
0.178343	0.000185801
0.178529	0.000174349
0.178703	0.000173661
0.178877	0.00018461
0.179061	0.000175533
0.179237	0.000173665
0.17941	0.00018349
0.179594	0.000176005
0.17977	0.000173496
0.179943	0.000182483
0.180126	0.000176986
0.180303	0.00017345
0.180476	0.000181522
